category,datetime,headline,id,image,related,source,summary,url
company,1698838790,Spirit Aero cuts 737 fuselage delivery forecast,123544218,https://media.zenfs.com/en/reuters-finance.com/76b3a9795988d8a53e4e79e3c15bdfe6,BA,Yahoo,"(Reuters) -Spirit AeroSystems on Wednesday announced $101 million in forward losses on key Boeing and Airbus aircraft production and cut its full-year forecast for 737 fuselage deliveries as it grapples with a production defect.  The aerospace supplier took a $47.3 million charge on the Boeing 787 Dreamliner program and a $22.7 million loss on the Airbus A350 program due to higher supply chain and labor costs.  Spirit now expects to deliver 345 to 360 narrowbody 737 fuselages to Boeing in 2023, compared with its prior forecast of 370 to 390 units.",https://finnhub.io/api/news?id=f9d73de255cf3519e9498b588edb5482a5f17242cac56c4870faaad91caf965f
company,1698838746,UPDATE 2-Spirit Aero cuts 737 fuselage delivery forecast,123544219,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"Spirit AeroSystems on Wednesday announced $101 million in forward losses on key Boeing and Airbus aircraft production and cut its full-year forecast for 737 fuselage deliveries as it grapples with a production defect.  The aerospace supplier took a $47.3 million charge on the Boeing 787 Dreamliner program and a $22.7 million loss on the Airbus A350 program due to higher supply chain and labor costs.  Spirit now expects to deliver 345 to 360 narrowbody 737 fuselages to Boeing in 2023, compared with its prior forecast of 370 to 390 units.",https://finnhub.io/api/news?id=9a5fbbaec04442abbac8db523ffaf4600f79942b7012f81e93f4de4df3733df0
company,1698837180,"Stocks slip lower, Fed preview, AMD slides, CVS earnings beat, Boeing gets Goldman boost - Five Things To Know",123567214,https://s.yimg.com/ny/api/res/1.2/o.vDR5Q5wO70.wbVNYf7hA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/thestreet.com/878481b6cd0f4552fb2dad1a846f0d83,BA,Yahoo,"Editor's note: This will be the final issue of our long-running 'Five Things' column as we transition to the new 'TheStreet Daily' newsletter that will keep you updated on all the biggest market stories, trends and breaking news that you will need to know.  Please look for TheStreet Daily, starting Thursday November 2, for all the stories, news and analysis you'll need to tackle the trading day.  Surging Treasury bond yields are doing some of the Fed's work in taming inflation pressures, but with an economy growth and 4.9%, while still adding hundreds of thousands of jobs every month, inflation pressures remain real.",https://finnhub.io/api/news?id=f457fb892d3c699358c15597655d0bca1f10a0e14b1f3cfaedd707936557a9ad
company,1698832920,"Microsoft, Intel share gains contribute to Dow's 188-point jump",123545511,,BA,MarketWatch,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=61df72d1250a72d510b1baf4795ab7cdabe0b03e3bd115d5df88ae150e234b8e
company,1698832800,"Dow's 100-point rally highlighted by gains for Microsoft, Boeing shares",123561517,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,BA,MarketWatch,"Led by positive growth for shares of Microsoft and Boeing, the Dow Jones Industrial Average is trading up Wednesday morning. Shares of Microsoft and Boeing...",https://finnhub.io/api/news?id=4f191e8aed3e191bf8245586a20f4c5db3709d9ee1a28322380eea0aa5bfbfd9
company,1698830940,"Video: Dow Movers: WBA, MSFT",123545550,,BA,Market News Video,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e9ef5540e16cf475caa747380879691a39061edc4da22dd1daf6ca58a68826d2
company,1698829440,"JD.com upgraded, Paycom downgraded: Wall Street's top analyst calls",123545783,,BA,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=cb45f4f2e50b23624be629d5789dee7b3d5b37d4c948993469df528fea2e639e
company,1698827280,Russian-Linked Cybercriminals Strike Boeing's Services Division In High-Profile Attack,123582881,,BA,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=bb0bfa069c37968d512d12da7f9f3efbb2b2dc4c420c8d647fe9ec659facbae9
company,1698824880,Spirit Aerosystems’ stock up premarket after adjusted loss is narrower than expected,123561518,https://s.wsj.net/public/resources/MWimages/MW-GP644_MicroS_ZG_20180906154215.jpg,BA,MarketWatch,"Spirit AeroSystems Holdings Inc.’s said Wednesday it had a net loss of $204 million, or $1.94 a share, in the third quarter, wider than the loss of $128...",https://finnhub.io/api/news?id=8b1d2b557515053707c7bc234affdd3a9f6572dbc6f943ccde6aaec406400c68
company,1698824460,Boeing added to ‘Conviction Buy’ list at Goldman Sachs,123549158,,BA,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9715462a0d458e96d83ca3cf771d0421c6742fdbe0812f48bd6fd155337d03ae
company,1698817191,"Ford, GM bumped to buy; Boeing gets 2 upgrades: 4 big analyst picks",123559928,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,Goldman Sachs upgraded Simon Property Group (NYSE:SPG) to Conviction Buy from Buy with a price target of $144.00.,https://finnhub.io/api/news?id=edb2b1970709b9d5f6026e03051cd5aea646205840ae9770a1f4bb974b7f8af5
company,1698814800,Top Defensive Stocks For Turbulent Times,123542215,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1294303353/image_1294303353.jpg?io=getty-c-w1536,BA,SeekingAlpha,Investors are searching for safe haven industries and a hedge for their portfolios. Click here for the 5 best defensive stocks to buy.,https://finnhub.io/api/news?id=fe99f746625a4e74ddf305a986bd2ba01357f175191c305360027750b2694765
company,1698813120,Wall Street Analysts Are Bullish on Top Industrial Goods Picks,123549160,,BA,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=a0605cdf1e54e3092371f2f106b33cbb7fc14c16c6aad4bc16d53f55a7714f5c
company,1698812100,Boeing upgraded to Conviction Buy from Buy at Goldman Sachs,123549161,,BA,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=8bf7a9cb8674b4bb4d01289db742844647b5a1cd3a6ca898000911bd54f27c86
company,1698808020,"Market Today: Goldman Sachs Reveals U.S. Conviction List, Qualcomm Beats Q4 Estimates, and Federal",123548596,,BA,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=7aa47e4fe31aae64610967832287b3714712d0f406bd55f33b7cccc0519304c1
company,1698803700,Spirit AeroSystems rises to 3-month high on better-than-expected results,123548289,,BA,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=a0fd2f98c3ba18b6dbb4f5f8e1976096884f683cef9045247e54c17e698acb6e
company,1698964763,Boeing Parts Website Down After Company Hit With Cyberattack,123598126,https://s.yimg.com/ny/api/res/1.2/hCd1X2ouyoWEjvCXIpxLwA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bloomberg_technology_68/ee971fd68da67245b933880a5a7cf046,BA,Yahoo,"(Bloomberg) -- Boeing Co.’s website selling spare aircraft parts, software and services was offline Thursday after the aerospace giant acknowledged it was dealing with a cyberattack. Most Read from BloombergAmazon’s Jeff Bezos Announces Move to Miami From SeattleSam Bankman-Fried Convicted of Fraud in Stunning FTX CrashIsrael’s Fight With Iran Proxies in Syria Poisons Russia TiesHedge Fund Executive’s Sudden Death Exposes a Firm Deep in TroubleS&P 500 Has Best Week in 2023 as Bond Yields Slide:",https://finnhub.io/api/news?id=d648f79617ccba3b84689a420de3996f8dd22b1a85a80fc693320d06faf1c619
company,1698943200,"Boeing Co. stock rises Thursday, still underperforms market",123708302,https://images.mktw.net/im-220105/social,BA,MarketWatch,"Shares of Boeing Co. rallied 1.39% to $192.01 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=a2758335c8b9f94406c24bbf5a75a5a5bb21cee0b35d1def466a064739ce64f3
company,1698941243,The ransomware fight is an uphill battle—just ask Boeing,123598127,https://s.yimg.com/ny/api/res/1.2/lesddY86Y700X8lat41hOg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03MTg-/https://media.zenfs.com/en/fortune_175/a50b69ef9a74b5bd23491acf75a14b28,BA,Yahoo,"Most of the world is trying to tackle the ransomware scourge, but with limited success.",https://finnhub.io/api/news?id=fd69d757e230cb0edf6853db028dd103f9e15f90dfface840ac6a9b26e7b7a9f
company,1698929940,Boeing (NYSE:BA) Probes Cyber Attack as Lockbit Boards its Systems,123582871,,BA,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=eeb391e9521e4c2c47ca1c12c1016079ac5c223300229cb59330e390f8312ece
company,1698927105,Aerospace supplier Howmet lifts forecast as jet production gathers pace,123598129,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"Howmet Aerospace on Thursday raised its annual profit and revenue forecasts, aided by higher demand for jet parts as planemakers ramp up production.  Plane manufacturers are increasing their pace of production to cash in on a post-pandemic travel boom, benefiting parts suppliers such as Howmet, which counts Airbus SE and Boeing Co among its customers.  Boeing last month said it intends to keep its 737 production ramp-up plan intact.",https://finnhub.io/api/news?id=628f815b4cd11d45af6b8052cbd6c96613c76550b8a7feb162aefb97282c89b1
company,1698922800,What You Missed On Wall Street This Morning,123581025,,BA,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f211f54cc154e790487307f3ea4b72561587f5d5ed2ce97385edc57b07253df9
company,1698919320,"Energy, Comm. serv. and Consumer Disc. are BofA ASM's most overweight sectors",123581308,,BA,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=491a56caddc795c94de82473c4075e1ffe69f43e0ab0aeae4f8265d287d48d8e
company,1698919020,Spirit AeroSystems: A Boeing Man At The Helm To Drive Recovery,123582874,,BA,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ddf376336663f2e19ece5257c93032ba9135ca89fd20f30a6b0755d21b36c610
company,1698905892,Q3 2023 Spirit AeroSystems Holdings Inc Earnings Call,123566503,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,Q3 2023 Spirit AeroSystems Holdings Inc Earnings Call,https://finnhub.io/api/news?id=488613b18f426f3ec004edf6eaf4d4a5436e57a746e945a82b1f17f3760cf7cd
company,1698905100,Spirit AeroSystems price target raised to $30 from $20 at Baird,123582876,,BA,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e9ccde7cf3ff9da233097e0e1da850830701d8fc153bb3abddcb9f93366642e8
company,1698901680,"Boeing probing cyber incident that hit parts business, Reuters reports",123582877,,BA,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2c60895335be95847459b87e8a23e1aae2e581ba44f73ff539bc713a3702578b
company,1698898140,What You Missed On Wall Street On Thursday,123581050,,BA,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c920b6a4ea1092d5d1af5759833a70189fdc833d26d1313af509c05886bd4146
company,1699036920,Retired exec will lead Boy Scouts of America after scandal-driven bankruptcy,123708297,https://images.mktw.net/im-881378/social,BA,MarketWatch,The new Boy Scouts president aims to reverse declining membership and improve safety as the organization emerges from bankruptcy following a sex-abuse scandal.,https://finnhub.io/api/news?id=acbca1aa971a90e33d9659a207aae5e9d4c93597f3aa9bd8c0d45ac0ddc208ca
company,1699032031,Curtiss-Wright: A Buy And Hold On End Market Growth,123593491,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1408635431/image_1408635431.jpg?io=getty-c-w1536,BA,SeekingAlpha,Curtiss-Wright Corporation enjoys significant but stable end market growth. Read more to see why CW stock is A Buy And Hold.,https://finnhub.io/api/news?id=297d654b049521599e36adf927b562fa318460149b543d29c4bb75a29d3c9b1b
company,1699029600,Boeing Co. stock outperforms market on strong trading day,123708299,https://images.mktw.net/im-220105/social,BA,MarketWatch,"Shares of Boeing Co. rallied 1.58% to $195.05 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=288e2fefec99cfe5439caabc80100fdc6c330ccdc11d051e580f73f2f37d8c3b
company,1699014780,This Is What Whales Are Betting On Boeing,123632420,,BA,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2f54230730e7bedd5da53a36a2087b3d6fe6b06a10c04f22754c4e7fb678d29f
company,1699011781,Q3 2023 Allegiant Travel Co Earnings Call,123598124,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,Q3 2023 Allegiant Travel Co Earnings Call,https://finnhub.io/api/news?id=55cfd1be2fbc75240f768096838e3f226923231a0f95697d027d63c75c7ec8ce
company,1699011060,Retired businessman will lead Boy Scouts of America as it emerges from scandal-driven bankruptcy,123632229,,BA,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=318117706dc99ffb51a4744e7d2a8e31af5116f27505d2d26d34a45b6ca2f19e
company,1698997260,"Analysts Are Bullish on Top Industrial Goods Stocks: Boeing (BA), Arcosa (ACA)",123582870,,BA,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=aab59be8e9d47d008f6c4df5f5e0c5027137434979900d557064a53193d23864
company,1698982020,"Caterpillar, UPS led October decline for big-cap industrial stocks",123595300,,BA,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c7a6e4d360ccf5e2479784761835cf8357c33176a98ada5279d17b9ced0e10ba
company,1698977040,Buy/Sell: Wall Street's top 10 stock calls this week,123590153,,BA,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=43a19636343a2a3e3813f29ab206a25e9958f2f83bb42ab067a5e41b7fa0d32c
company,1699295473,UPDATE 1-Brazil's Gol lowers 2023 outlook amid delayed Boeing deliveries,123664533,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"Brazilian airline Gol on Monday lowered its outlook for 2023 after reporting a net loss in the third quarter, saying it now forecasts earnings per share to stand at zero this year from a previous estimate of 0.30 real.  Shares of Gol slipped more than 3% on the news, making it one of the worst performers of the day on Brazil's benchmark stock index Bovespa, which was trading near flat.  The airline said it expects its EBITDA margin to come in at about 24% in 2023, down from a previous forecast of 25%, while investments in aircraft purchases were lowered to 100 million reais ($20.44 million) from 500 million before.",https://finnhub.io/api/news?id=76451f56f98390e6882910a6afea431e9fe9a878da5f7689d2625b58bdc18702
company,1699289990,"Air Lease doubts if Boeing, Airbus can meet annual delivery targets",123661828,https://media.zenfs.com/en/reuters-finance.com/05f2f6a26049bcbd93c58715ecc22566,BA,Yahoo,"""Our feeling at the moment ... is that neither of the two big players will reach the target deliveries that they forecast,"" Air Lease Chairman Steven Udvar-Hazy said in response to an analyst question on fourth-quarter deliveries during a post-earnings call.  The ongoing jet shortage has benefited lessors such as Air Lease, with the company reporting a third-quarter profit per share of $1.10, beating analysts' estimates of $1.03, according to LSEG data.  Jet deliveries usually rise during November and December as planemakers rush to meet their annual target, but delays from Boeing and Airbus have left airlines scrambling to meet strong travel demand in the busiest season of the year.",https://finnhub.io/api/news?id=7461e4205845fadc3d87844b4cfd767e44c6a16d5608c591772d2fb46eab84fd
company,1699289732,"UPDATE 1-Air Lease doubts if Boeing, Airbus can meet annual delivery targets",123661830,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"Air Lease on Monday cast doubt on whether planemakers Boeing and Airbus would hit their 2023 delivery targets due to quality issues at their suppliers.  ""Our feeling at the moment ... is that neither of the two big players will reach the target deliveries that they forecast,"" Air Lease Chairman Steven Udvar-Hazy said in response to an analyst question on fourth-quarter deliveries during a post-earnings call.  Jet deliveries usually rise during November and December as planemakers rush to meet their annual target, but delays from Boeing and Airbus have left airlines scrambling to meet strong travel demand in the busiest season of the year.",https://finnhub.io/api/news?id=d52807ab8590ba9a46c15257dcde169ab18ed2bee26f67c5a72aa5bf32bd0272
company,1699288800,Boeing Co. stock underperforms Monday when compared to competitors,123708294,https://images.mktw.net/im-220105/social,BA,MarketWatch,"Shares of Boeing Co. slipped 1.08% to $192.95 Monday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=3471f1bbc67818eb7219fd0b45e9f92a27a523d37989fadb119320adee52bac3
company,1699288092,"November Dogs Of The Dow: 3 Buyable, 4 Watchable",123668902,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/182440794/image_182440794.jpg?io=getty-c-w1536,BA,SeekingAlpha,Learn about the Dow Jones Industrial Average and the top-performing stocks in November. Click to see our exclusive list of dividend stocks we consider buyable now.,https://finnhub.io/api/news?id=75d40957ee6bc54523f97ff4845d3e4d7088233f70269387508af8ae24de45ee
company,1699281914,CORRECTED-Air Lease says it has two aircraft on lease in Israel,123661831,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"Air Lease Corp said on Monday it had leased out two Boeing 787s in Israel, amid escalating tensions in the region due to the military conflict in the Middle East.  ""We continue to monitor this region very closely with all of our airline lessees,"" Air Lease CEO John Plueger said.",https://finnhub.io/api/news?id=981e1e5b2e954f776f4d324fc6100eb18e76cf7d27f87d193a484d21b21d7f8d
company,1699280922,"Ryanair CEO O'Leary on Boeing, Fares and Dividend",123664539,https://s.yimg.com/ny/api/res/1.2/B8Gm48KOuMGb7ee2yjS_lA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/bloomberg_markets_video_2/7c50752349e094b9c87680301802592e,BA,Yahoo,"""We are committed to Boeing,"" Ryanair CEO Michael O'Leary says during an interview with Jonathan Ferro and Lisa Abramowicz on ""Bloomberg Surveillance."" O'Leary also discusses the outlook for fares and the company's dividend. Follow Bloomberg for business news & analysis, up-to-the-minute market data, features, profiles and more: http://www.bloomberg.com Connect with us on... Twitter: https://twitter.com/business Facebook: https://www.facebook.com/bloombergbusiness/ Instagram: https://www.instagram.com/quicktake/?hl=en",https://finnhub.io/api/news?id=1ceb2c9b5ddaf319db9228cbbab4cd598de83245df18b1e2c43d66866bc3eaeb
company,1699275600,"Dubai Airshow 2023: Boeing to showcase innovations in sustainable aviation and its leading commercial, defense and services portfolio",123664541,https://media.zenfs.com/en/prnewswire.com/62eafaa8e1c1ec9325f527e296672eb7,BA,Yahoo,"Boeing [NYSE: BA] will show its market-leading commercial, defense and services portfolio at the 2023 Dubai Airshow, with its new widebody 777-9 jet appearing in the flying display. The company also will demonstrate the state-of-the-art F-15QA (Qatar Advanced) fighter, the first time the digitally advanced Qatar Emiri Air Force F-15 has performed at an air show.",https://finnhub.io/api/news?id=6906505615cf137f91fb79a02db605562a8cbbc85dee287ef03745eea5bfdf34
company,1699270800,10 Industrials Stocks With Whale Alerts In Today's Session,123662503,,BA,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=16493d4b255efdb1ae3a8411c73363bdc59c0f9d866c7e156ef0bfcad62d42b6
company,1699267047,UPDATE 3-Embraer maintains 2023 outlook but deliveries seen at low end of guidance,123659267,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"Brazilian planemaker Embraer on Monday kept its outlook for the full year unchanged but acknowledged it might be closer to meeting the low end of its delivery target range as it continues to grapple with supply chain issues.  Embraer will need to deliver at least 26 commercial and 54 executive jets in the final three months of the year to meet its goals, nearly in line with the performance it posted in the same period of last year.  ""We have a big challenge for deliveries in the fourth quarter, but as we demonstrated in the fourth quarter of 2022, we are prepared for it,"" Chief Financial Officer Antonio Carlos Garcia told a conference call with analysts.",https://finnhub.io/api/news?id=eae2b5edbe0c511ac976b1161a1289c185a0cb5fd68edc4609760ddb9a1fe5d3
company,1699254901,"UPDATE 1-Ryanair sees record annual profit, first regular dividend as fares soar",123655045,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,BA,Yahoo,"Ryanair on Monday forecast a record annual profit and promised to pay investors a regular dividend for the first time after fares soared 24% during the summer season.  The Irish airline has been increasing capacity far faster than most rivals to take advantage of the travel boom that followed COVID-era lockdowns.  ""We're pleased to report strong half year results ... due to a very strong Easter, record summer traffic,"" Group Chief Executive Michael O'Leary said in a video presentation.",https://finnhub.io/api/news?id=8b530a185e370d7c97714e2662aff7d05d43bc4f5015f43a04c03e8180c96223
company,1699254360,Boeing’s Positive Prospects: Resumption of 737 MAX Deliveries and Anticipated Air Force Review Boost Buy Rating,123669398,,BA,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=092a944940deaa35d3b8f5fbfb2bbb0aa47063a5b68238b4102b757c188da507
company,1699248420,"Analysts Conflicted on These Industrial Goods Names: Grupo Aeroportuario del Pacifico (PAC), Fluor (FLR) and Boeing (BA)",123662935,,BA,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=533b8157eb8fe56d5a22262edc5dc4c5ad839795ca759accda131a4eee503d89
